Date,Real,Prediccion_Prophet
2015-04-08,6790649,6023784.638630803
2015-04-09,6560475,6042414.754324264
2015-04-10,6669239,6405607.587135998
2015-04-11,6445499,6158151.284295185
2015-04-12,244956,381420.7813647665
2015-04-13,11075002,9803553.935902715
2015-04-14,9166055,8657967.962653697
2015-04-15,8002511,8268552.809857575
2015-04-16,8396675,8318093.2710018605
2015-04-17,8738327,8657429.289782615
2015-04-18,6569186,6102295.626865587
2015-04-19,237342,334199.9715996033
2015-04-20,6588863,7106341.672009314
2015-04-21,6039464,5969095.670859475
2015-04-22,6082195,5603157.907314641
2015-04-23,6153519,5648963.65276446
2015-04-24,6367560,5999601.509381957
2015-04-25,6305451,6102526.1922181845
2015-04-26,234093,353043.5691441321
2015-04-27,10605500,9435525.774370175
2015-04-28,9302980,8304329.241671874
2015-04-29,9517703,7957004.194685595
2015-04-30,11327847,8012798.48795273
2015-05-01,264231,1304358.1644895002
2015-05-02,8764984,6178138.609687357
2015-05-03,249207,446860.9089864359
2015-05-04,10995906,9508601.281977987
2015-05-05,8778928,8379177.3811189905
2015-05-06,8633577,8023381.430548331
2015-05-07,8550616,8082051.373728466
2015-05-08,8665512,8434151.751647795
2015-05-09,7157061,6234547.638849271
2015-05-10,251720,499052.43078687723
2015-05-11,6732629,7583116.514335245
2015-05-12,6686277,6449271.44910017
2015-05-13,8147927,6080395.971797399
2015-05-14,289247,0.0
2015-05-15,8596524,6463096.436992274
2015-05-16,6497847,6214431.012723022
2015-05-17,255680,465180.42691956635
2015-05-18,10603240,9834919.561859254
2015-05-19,8925994,8692061.187344968
2015-05-20,8355497,8315286.783400291
2015-05-21,8228411,8346844.915292941
2015-05-22,8352281,8680631.008174442
2015-05-23,6773815,6135039.587225252
2015-05-24,261385,393300.42737943406
2015-05-25,299473,175671.71567870682
2015-05-26,7776413,6326730.35281727
2015-05-27,6876443,5958920.86795907
2015-05-28,6974793,6000818.65197015
2015-05-29,8372820,6346099.415838474
2015-05-30,7546769,6109545.757753708
2015-05-31,278690,387124.634189683
2015-06-01,11743615,9754480.136847392
2015-06-02,9925193,8633424.934006076
2015-06-03,9731791,8271199.035786234
2015-06-04,3534231,4193448.8694333876
2015-06-05,9724893,8685621.256383706
2015-06-06,6478518,6165946.196339509
2015-06-07,262497,462322.1489877077
2015-06-08,7366781,7190584.20162311
2015-06-09,6865990,6071694.633460427
2015-06-10,6524741,5715081.769868098
2015-06-11,6553081,5763391.373951438
2015-06-12,6606431,6103159.123253388
2015-06-13,6510261,6199722.3702824805
2015-06-14,269533,489488.1864516843
2015-06-15,11570100,9483827.046950337
2015-06-16,9636747,8349369.456926693
2015-06-17,8618478,7975090.011949625
2015-06-18,8191358,8004465.079709224
2015-06-19,8458252,8331638.516281906
2015-06-20,6390661,6122836.5891274335
2015-06-21,249849,400510.8393354252
2015-06-22,6552538,7082851.122656287
2015-06-23,6292372,5934476.292140223
2015-06-24,6257424,5547440.077886514
2015-06-25,6211764,5565946.303914583
2015-06-26,6634687,5891535.096375376
2015-06-27,6538314,5963378.093450898
2015-06-28,262669,237277.90245473135
2015-06-29,11916672,9536807.802604062
2015-06-30,11483932,8392345.70635712
2015-07-01,8989672,8011234.164406953
2015-07-02,8446293,8030853.720087096
2015-07-03,8530388,8359563.130562491
2015-07-04,6054276,5828636.640016607
2015-07-05,269248,137005.4600959599
2015-07-06,7540473,7147629.439818569
2015-07-07,6393024,6020941.95048156
2015-07-08,6915625,5656966.436937796
2015-07-09,6938182,5699963.346241251
2015-07-10,7064909,6043940.080091959
2015-07-11,6262022,5801985.331925985
2015-07-12,277047,128778.97034091414
2015-07-13,10841267,9420563.734521804
2015-07-14,9340405,8302846.394069694
2015-07-15,8756137,7944550.30888397
2015-07-16,8373873,7983207.684116278
2015-07-17,7949337,8326853.766772475
2015-07-18,6448982,5820058.897041405
2015-07-19,298418,148166.03354345987
2015-07-20,7339321,7147309.750003642
2015-07-21,6356482,6022141.832644581
2015-07-22,6110388,5653936.043735459
2015-07-23,6687068,5687976.972359028
2015-07-24,6601325,6018890.843432631
2015-07-25,6021666,6101881.953639292
2015-07-26,285865,423019.5324940806
2015-07-27,10707292,9343018.912966374
2015-07-28,9115073,8207382.089462471
2015-07-29,8499962,7829361.553200907
2015-07-30,8798854,7854989.896651093
2015-07-31,10109742,8179316.919569885
