Date,Real,Prediccion_Prophet,Prediccion_ARIMA,Prediccion_LSTM,Escenario_Base,Escenario_Optimista,Escenario_Pesimista
2015-02-22,199419,0.0,911973.1408890272,0.0,0.0,0.0,0.0
2015-02-23,5984980,6836768.057368649,7095100.811216852,6548589.953899801,6836768.057368649,7520444.863105515,6153091.251631784
2015-02-24,6021986,5696869.667089061,6440148.76684973,5460773.666241944,5696869.667089061,6266556.633797968,5127182.700380155
2015-02-25,6028364,5333987.323056622,5906697.945327332,6757491.459734619,5333987.323056622,5867386.055362285,4800588.590750961
2015-02-26,6471718,5385165.030784427,6038454.502568413,7274301.784059226,5385165.030784427,5923681.53386287,4846648.527705984
2015-02-27,7778945,5742292.921916394,7095176.897648903,6496104.528696835,5742292.921916394,6316522.214108033,5168063.629724754
2015-02-28,7421745,5847969.126456877,6360199.196732078,4581005.628396809,5847969.126456877,6432766.0391025655,5263172.21381119
2015-03-01,228942,0.0,1385155.0254511023,2739582.424195558,0.0,0.0,0.0
2015-03-02,10933146,9547449.472078905,8248558.200707786,10269942.085260391,9547449.472078905,10502194.419286795,8592704.524871014
2015-03-03,9234921,8410369.210425077,8236974.008904119,9483834.16560638,8410369.210425077,9251406.131467586,7569332.2893825695
2015-03-04,8421680,8047919.018119132,8162460.474721534,8665215.525717854,8047919.018119132,8852710.919931047,7243127.1163072195
2015-03-05,8263354,8097765.758616498,8454179.023905259,8001260.182398438,8097765.758616498,8907542.334478147,7287989.182754848
2015-03-06,8504508,8452195.76304387,8091852.350134248,7218699.47568661,8452195.76304387,9297415.339348257,7606976.186739483
2015-03-07,6565020,5892400.93621214,6955112.306535584,6537877.981605053,5892400.93621214,6481641.029833355,5303160.842590926
2015-03-08,201341,26520.531804077356,791948.6104653347,0.0,26520.531804077356,29172.584984485093,23868.47862366962
2015-03-09,6765029,7259995.487018161,7291922.417975572,7000687.009398937,7259995.487018161,7985995.035719979,6533995.938316345
2015-03-10,6211021,6121472.122167965,6557577.079309155,5922439.775177598,6121472.122167965,6733619.334384763,5509324.909951169
2015-03-11,6272025,5750151.056753063,5751657.854817167,6778461.013101935,5750151.056753063,6325166.16242837,5175135.9510777565
2015-03-12,6376255,5798548.436300434,6278801.057638876,7085587.8344782,5798548.436300434,6378403.279930478,5218693.592670391
2015-03-13,6942094,6152148.014226336,7599408.014039978,6198541.208114862,6152148.014226336,6767362.81564897,5536933.212803703
2015-03-14,6625997,5922788.534539135,6673096.447063228,4358387.245382488,5922788.534539135,6515067.387993049,5330509.6810852215
2015-03-15,244505,135558.29220631628,1035192.0497116242,1168791.6473788845,135558.29220631628,149114.12142694794,122002.46298568466
2015-03-16,10877344,9273016.427113269,9211089.40356649,9233272.11058861,9273016.427113269,10200318.069824597,8345714.784401942
2015-03-17,8792886,8139204.672716713,8674383.435224844,8607356.99372065,8139204.672716713,8953125.139988385,7325284.205445042
2015-03-18,7993269,7772874.65972313,8218892.551336405,8347127.788587034,7772874.65972313,8550162.125695445,6995587.193750817
2015-03-19,8073881,7833863.087388213,8301334.366624788,7936720.896362722,7833863.087388213,8617249.396127034,7050476.778649392
2015-03-20,8291098,8200471.000826059,7954725.972878975,7321351.172522724,8200471.000826059,9020518.100908665,7380423.900743453
2015-03-21,6398094,5985434.728972744,6851518.196167157,6761717.945909143,5985434.728972744,6583978.20187002,5386891.25607547
2015-03-22,235852,218646.70918790277,973949.0449979872,1128516.1353912356,218646.70918790277,240511.38010669308,196782.0382691125
2015-03-23,6788834,7036891.350571215,7804428.86538158,7822724.226018071,7036891.350571215,7740580.485628338,6333202.215514094
2015-03-24,6226359,5911493.250402709,6458206.060829643,6298517.45683831,5911493.250402709,6502642.57544298,5320343.925362438
2015-03-25,6073784,5898144.657054557,5723413.539423324,7177600.6688088775,5898144.657054557,6487959.122760014,5308330.191349102
2015-03-26,6362734,5964643.218062525,6174878.029552285,7829865.84936136,5964643.218062525,6561107.539868778,5368178.896256273
2015-03-27,7078009,6328135.948566318,7067675.474531491,6436973.516189456,6328135.948566318,6960949.5434229495,5695322.353709686
2015-03-28,6829093,6440628.533517901,6238282.414625593,4337043.814105272,6440628.533517901,7084691.386869691,5796565.680166111
2015-03-29,226242,673720.684133025,1196396.8563703978,2348444.820016876,673720.684133025,741092.7525463275,606348.6157197225
2015-03-30,12371453,9798539.404071769,9236675.307003573,9615589.11123085,9798539.404071769,10778393.344478946,8818685.463664591
2015-03-31,11222913,8671319.021768685,8680722.502634909,8514305.81529367,8671319.021768685,9538450.923945555,7804187.119591817
2015-04-01,11102030,8314550.527355505,8588683.800014794,8067963.148021638,8314550.527355505,9146005.580091055,7483095.474619955
2015-04-02,11400447,8367263.851855891,9318070.340376664,7394155.566512167,8367263.851855891,9203990.23704148,7530537.466670302
2015-04-03,242473,1603801.491973288,9120252.284379736,6608847.227338731,1603801.491973288,1764181.6411706167,1443421.342775959
2015-04-04,9366558,6511754.390697849,6048991.350408439,9781224.428838968,6511754.390697849,7162929.829767634,5860578.951628064
2015-04-05,217211,740010.1919396227,165731.45272985473,1520299.2342287155,740010.1919396227,814011.2111335851,666009.1727456605
2015-04-06,272921,522518.25640749634,7902774.002102414,6658059.369949341,522518.25640749634,574770.082048246,470266.4307667467
2015-04-07,7896155,6392913.764404006,6677094.038475845,7701324.032705128,6392913.764404006,7032205.1408444075,5753622.387963606
2015-04-08,6790649,6023784.638630803,4907229.001521342,6592775.10441494,6023784.638630803,6626163.102493883,5421406.174767722
2015-04-09,6560475,6042414.754324264,6794919.363177874,6469050.204889953,6042414.754324264,6646656.229756691,5438173.278891837
2015-04-10,6669239,6405607.587135998,4475351.12268612,5954581.244704068,6405607.587135998,7046168.345849598,5765046.828422398
2015-04-11,6445499,6158151.284295185,7638556.639878532,4675394.993600309,6158151.284295185,6773966.412724704,5542336.155865666
2015-04-12,244956,381420.7813647665,2301504.2457392947,1897602.4303007724,381420.7813647665,419562.85950124316,343278.70322828984
2015-04-13,11075002,9803553.935902717,7979312.113728303,9404735.851653516,9803553.935902717,10783909.32949299,8823198.542312445
2015-04-14,9166055,8657967.962653697,10359165.794385502,8910786.680814624,8657967.962653697,9523764.758919068,7792171.166388327
2015-04-15,8002511,8268552.809857575,10982047.146048289,8189553.982051015,8268552.809857575,9095408.090843333,7441697.5288718175
2015-04-16,8396675,8318093.27100186,9435183.933122858,7459338.033605754,8318093.27100186,9149902.598102046,7486283.943901674
2015-04-17,8738327,8657429.289782615,2533336.2718739826,6686302.884633005,8657429.289782615,9523172.218760878,7791686.360804354
2015-04-18,6569186,6102295.626865587,8914809.314623788,6113987.423174739,6102295.626865587,6712525.189552146,5492066.064179028
2015-04-19,237342,334199.9715996033,874630.4388938779,0.0,334199.9715996033,367619.9687595637,300779.974439643
2015-04-20,6588863,7106341.672009314,4396896.22924199,6836494.453329265,7106341.672009314,7816975.839210247,6395707.504808383
2015-04-21,6039464,5969095.670859475,7782913.650364328,5406497.513921022,5969095.670859475,6566005.2379454225,5372186.103773528
2015-04-22,6082195,5603157.907314641,5928162.337083328,6592782.507937908,5603157.907314641,6163473.698046106,5042842.116583178
2015-04-23,6153519,5648963.65276446,6260451.859406612,7003401.326007187,5648963.65276446,6213860.018040907,5084067.287488014
2015-04-24,6367560,5999601.509381957,6975035.715568995,6202675.150252283,5999601.509381957,6599561.660320153,5399641.358443762
2015-04-25,6305451,6102526.1922181845,5989753.283322362,4545844.446939647,6102526.1922181845,6712778.811440003,5492273.572996366
2015-04-26,234093,353043.5691441321,907804.8745435112,2866295.107958436,353043.5691441321,388347.9260585453,317739.21222971886
2015-04-27,10605500,9435525.774370177,9182472.626101252,10286896.15285778,9435525.774370177,10379078.351807196,8491973.19693316
2015-04-28,9302980,8304329.241671874,8567974.727551166,8929966.432504356,8304329.241671874,9134762.165839063,7473896.317504687
2015-04-29,9517703,7957004.194685595,8043280.112082669,8392210.616262078,7957004.194685595,8752704.614154154,7161303.775217036
2015-04-30,11327847,8012798.48795273,8743233.793162331,7733886.5776004195,8012798.48795273,8814078.336748004,7211518.639157457
2015-05-01,264231,1304358.1644895002,8851319.66400943,6873634.226299703,1304358.1644895002,1434793.9809384504,1173922.3480405502
2015-05-02,8764984,6178138.609687357,6003677.035291841,10261319.757323444,6178138.609687357,6795952.470656093,5560324.748718621
2015-05-03,249207,446860.9089864359,319054.7537567448,2038649.7226908207,446860.9089864359,491546.99988507957,402174.8180877923
2015-05-04,10995906,9508601.281977989,7210242.551254112,7644504.770244598,9508601.281977989,10459461.41017579,8557741.15378019
2015-05-05,8778928,8379177.3811189905,8029159.162194182,8788058.480569243,8379177.3811189905,9217095.11923089,7541259.643007091
2015-05-06,8633577,8023381.430548331,6808062.637511472,8893966.802071035,8023381.430548331,8825719.573603164,7221043.287493498
2015-05-07,8550616,8082051.373728466,8384521.557942297,8578207.472913742,8082051.373728466,8890256.511101313,7273846.2363556195
2015-05-08,8665512,8434151.751647795,4186078.338218748,7709685.386457443,8434151.751647795,9277566.926812574,7590736.576483015
2015-05-09,7157061,6234547.638849271,8042250.941547563,6755511.0173406005,6234547.638849271,6858002.4027342,5611092.874964344
2015-05-10,251720,499052.4307868772,2345668.507268074,366909.3652404621,499052.4307868772,548957.673865565,449147.1877081895
2015-05-11,6732629,7583116.514335245,10612570.020329349,7469951.909221172,7583116.514335245,8341428.1657687705,6824804.86290172
2015-05-12,6686277,6449271.44910017,7552703.557346707,6502196.7026593685,6449271.44910017,7094198.594010188,5804344.304190153
2015-05-13,8147927,6080395.971797399,7956198.330529837,6211212.337675095,6080395.971797399,6688435.56897714,5472356.3746176595
2015-05-14,289247,0.0,8861073.734573513,5361275.870190322,0.0,0.0,0.0
2015-05-15,8596524,6463096.436992274,2332542.6345590428,7756292.414423585,6463096.436992274,7109406.0806915015,5816786.793293047
2015-05-16,6497847,6214431.012723022,7099588.86278346,4344852.679956079,6214431.012723022,6835874.113995325,5592987.91145072
2015-05-17,255680,465180.4269195664,683416.6283638598,2291260.0086097866,465180.4269195664,511698.4696115231,418662.3842276098
2015-05-18,10603240,9834919.561859254,9712546.900458394,10841086.864649296,9834919.561859254,10818411.51804518,8851427.605673328
2015-05-19,8925994,8692061.187344968,8233289.555594583,10948496.250432909,8692061.187344968,9561267.306079466,7822855.068610472
2015-05-20,8355497,8315286.783400291,9209632.242258236,9971651.368546784,8315286.783400291,9146815.46174032,7483758.105060262
2015-05-21,8228411,8346844.915292941,6236642.369721984,9013699.35183537,8346844.915292941,9181529.406822236,7512160.423763647
2015-05-22,8352281,8680631.008174442,9107133.41369152,7814912.583846152,8680631.008174442,9548694.108991887,7812567.907356998
2015-05-23,6773815,6135039.587225252,7838590.276223696,6726295.790267348,6135039.587225252,6748543.545947777,5521535.628502727
2015-05-24,261385,393300.42737943406,1123555.5676535051,0.0,393300.42737943406,432630.4701173775,353970.38464149064
2015-05-25,299473,175671.71567870682,7219267.232115604,6241313.211183429,175671.71567870682,193238.88724657753,158104.54411083614
2015-05-26,7776413,6326730.35281727,5888560.887728332,8103934.089803457,6326730.35281727,6959403.388098998,5694057.317535543
2015-05-27,6876443,5958920.86795907,5722740.869057307,7572905.299618244,5958920.86795907,6554812.9547549775,5363028.7811631635
2015-05-28,6974793,6000818.65197015,2658536.3404045505,7227654.96215713,6000818.65197015,6600900.517167166,5400736.786773135
2015-05-29,8372820,6346099.415838474,8976140.681274656,6538824.707104623,6346099.415838474,6980709.357422322,5711489.474254627
2015-05-30,7546769,6109545.757753708,6465633.495985931,4693661.335643828,6109545.757753708,6720500.333529079,5498591.1819783375
2015-05-31,278690,387124.634189683,1779678.069969941,1341034.7249162495,387124.634189683,425837.0976086513,348412.1707707147
2015-06-01,11743615,9754480.136847392,7097432.092213728,8986162.873595178,9754480.136847392,10729928.150532132,8779032.123162653
2015-06-02,9925193,8633424.934006076,9835010.861915763,8621410.731195211,8633424.934006076,9496767.427406685,7770082.440605469
2015-06-03,9731791,8271199.035786234,9439337.239450105,7967828.648994744,8271199.035786234,9098318.939364858,7444079.132207611
2015-06-04,3534231,4193448.869433388,8887375.804861775,7374895.301510155,4193448.869433388,4612793.7563767275,3774103.982490049
2015-06-05,9724893,8685621.256383706,7086867.5305447485,8511323.120977819,8685621.256383706,9554183.382022077,7817059.1307453355
2015-06-06,6478518,6165946.196339509,6738308.481712343,6542165.546844065,6165946.196339509,6782540.815973461,5549351.576705558
2015-06-07,262497,462322.1489877077,200130.0220357096,0.0,462322.1489877077,508554.3638864785,416089.93408893695
2015-06-08,7366781,7190584.20162311,4877230.858087007,6791842.880867124,7190584.20162311,7909642.621785422,6471525.781460799
2015-06-09,6865990,6071694.633460427,7928665.721549019,5399808.43091917,6071694.633460427,6678864.09680647,5464525.170114384
2015-06-10,6524741,5715081.769868098,6950349.813590778,6463729.848196864,5715081.769868098,6286589.946854909,5143573.592881288
2015-06-11,6553081,5763391.373951438,4934578.786862626,6852651.716767192,5763391.373951438,6339730.511346582,5187052.236556294
2015-06-12,6606431,6103159.123253388,8769795.12233934,6091462.20454371,6103159.123253388,6713475.035578728,5492843.21092805
2015-06-13,6510261,6199722.3702824805,7172813.02057017,4491156.473653615,6199722.3702824805,6819694.607310729,5579750.133254233
2015-06-14,269533,489488.1864516843,1064563.643865169,2863946.571656838,489488.1864516843,538437.0050968528,440539.36780651583
2015-06-15,11570100,9483827.046950337,9379377.643013377,10180124.395489812,9483827.046950337,10432209.751645371,8535444.342255304
2015-06-16,9636747,8349369.456926693,9469236.262870068,8793110.459554732,8349369.456926693,9184306.402619364,7514432.511234024
2015-06-17,8618478,7975090.011949625,8836444.89284441,8288087.469236016,7975090.011949625,8772599.013144588,7177581.010754663
2015-06-18,8191358,8004465.079709224,5873346.322717846,7812908.080002487,8004465.079709224,8804911.587680148,7204018.571738302
2015-06-19,8458252,8331638.516281906,8847234.051431537,7269004.563375413,8331638.516281906,9164802.367910096,7498474.664653715
2015-06-20,6390661,6122836.5891274335,6910656.100954554,6802163.391884923,6122836.5891274335,6735120.248040177,5510552.93021469
2015-06-21,249849,400510.8393354252,1125861.7783242324,1284296.0914480465,400510.8393354252,440561.9232689677,360459.7554018827
2015-06-22,6552538,7082851.122656287,8430408.689952899,8260859.1626393795,7082851.122656287,7791136.234921916,6374566.010390658
2015-06-23,6292372,5934476.292140223,6908504.706848333,6717157.066603363,5934476.292140223,6527923.921354246,5341028.662926201
2015-06-24,6257424,5547440.077886514,5807893.630446131,7263622.202177465,5547440.077886514,6102184.085675166,4992696.070097863
2015-06-25,6211764,5565946.303914583,6083675.851279753,7027733.929682851,5565946.303914583,6122540.934306042,5009351.673523125
2015-06-26,6634687,5891535.096375376,6872285.969102364,5828931.429207325,5891535.096375376,6480688.606012914,5302381.586737839
2015-06-27,6538314,5963378.093450898,6101763.111602663,4122225.042538047,5963378.093450898,6559715.902795989,5367040.2841058085
2015-06-28,262669,237277.90245473132,1145346.0011476567,2921536.7259464413,237277.90245473132,261005.69270020447,213550.1122092582
2015-06-29,11916672,9536807.802604062,9534564.607799226,11017321.250826895,9536807.802604062,10490488.582864469,8583127.022343656
2015-06-30,11483932,8392345.70635712,9135452.444917705,10706355.702791572,8392345.70635712,9231580.276992833,7553111.135721408
2015-07-01,8989672,8011234.164406953,8961360.333479226,9306620.663516223,8011234.164406953,8812357.580847649,7210110.747966258
2015-07-02,8446293,8030853.720087096,8898684.98941109,8625289.251790226,8030853.720087096,8833939.092095807,7227768.348078387
2015-07-03,8530388,8359563.130562491,8182747.994764999,7856968.296067536,8359563.130562491,9195519.44361874,7523606.817506242
2015-07-04,6054276,5828636.640016607,6801641.892824563,7182748.893592954,5828636.640016607,6411500.304018268,5245772.976014947
2015-07-05,269248,137005.4600959599,1011332.3831830976,72512.55456803739,137005.4600959599,150706.0061055559,123304.9140863639
2015-07-06,7540473,7147629.439818569,7901659.843256718,8291858.63874799,7147629.439818569,7862392.383800427,6432866.495836712
2015-07-07,6393024,6020941.95048156,7321359.12061386,6358924.651617348,6020941.95048156,6623036.145529716,5418847.755433404
2015-07-08,6915625,5656966.436937796,5765480.527816297,5271103.736757636,5656966.436937796,6222663.0806315765,5091269.793244016
2015-07-09,6938182,5699963.346241251,5910362.361773775,4879033.520045042,5699963.346241251,6269959.680865376,5129967.011617126
2015-07-10,7064909,6043940.080091959,7048058.2779297,4475628.509667993,6043940.080091959,6648334.088101155,5439546.072082764
2015-07-11,6262022,5801985.331925985,6390608.052949684,3954973.6746820062,5801985.331925985,6382183.865118585,5221786.798733387
2015-07-12,277047,128778.97034091414,1223190.6941269685,2603504.9779580683,128778.97034091414,141656.86737500556,115901.07330682273
2015-07-13,10841267,9420563.734521804,10158871.008229963,11199122.16083628,9420563.734521804,10362620.107973985,8478507.361069623
2015-07-14,9340405,8302846.394069694,9858094.164465148,11074946.571850598,8302846.394069694,9133131.033476664,7472561.754662725
2015-07-15,8756137,7944550.30888397,8558989.071070565,9916690.390351295,7944550.30888397,8739005.339772368,7150095.277995572
2015-07-16,8373873,7983207.684116278,8607371.713736977,8596806.973490834,7983207.684116278,8781528.452527907,7184886.91570465
2015-07-17,7949337,8326853.766772475,8085453.789050428,7388135.576898575,8326853.766772475,9159539.143449724,7494168.390095227
2015-07-18,6448982,5820058.897041405,6343877.789583019,6564415.9096848965,5820058.897041405,6402064.786745545,5238053.007337265
2015-07-19,298418,148166.03354345987,1074652.484521551,0.0,148166.03354345987,162982.63689780587,133349.4301891139
2015-07-20,7339321,7147309.750003642,8299601.3528440595,6678434.790598452,7147309.750003642,7862040.725004007,6432578.775003279
2015-07-21,6356482,6022141.832644581,6869078.521671004,5691032.484959543,6022141.832644581,6624356.015909039,5419927.649380123
2015-07-22,6110388,5653936.043735459,6348076.448086335,6739531.438453913,5653936.043735459,6219329.648109006,5088542.439361914
2015-07-23,6687068,5687976.972359028,6473239.2854358,7252572.444147289,5687976.972359028,6256774.669594931,5119179.275123125
2015-07-24,6601325,6018890.843432631,6840443.084675355,6363973.854281724,6018890.843432631,6620779.927775895,5417001.759089368
2015-07-25,6021666,6101881.953639292,6021074.653982079,4532682.833982766,6101881.953639292,6712070.149003222,5491693.758275363
2015-07-26,285865,423019.5324940806,1119780.5415109303,2634365.6380110234,423019.5324940806,465321.4857434887,380717.57924467255
2015-07-27,10707292,9343018.912966374,9255478.405724244,9689459.612527728,9343018.912966374,10277320.804263012,8408717.021669738
2015-07-28,9115073,8207382.089462471,8659228.93817678,8612807.837506056,8207382.089462471,9028120.298408719,7386643.880516225
2015-07-29,8499962,7829361.553200907,8313625.405358381,8284357.019100368,7829361.553200907,8612297.708521,7046425.397880817
2015-07-30,8798854,7854989.896651093,8542631.737133553,7686321.718850255,7854989.896651093,8640488.886316203,7069490.906985984
2015-07-31,10109742,8179316.919569885,7822491.1584418705,6937670.072773576,8179316.919569885,8997248.611526875,7361385.227612897
