Date,Real,Prediccion_LSTM
2015-05-31,278690.0,1341034.7249162497
2015-06-01,11743615.0,8986162.873595178
2015-06-02,9925193.0,8621410.731195211
2015-06-03,9731791.0,7967828.648994744
2015-06-04,3534231.0,7374895.301510155
2015-06-05,9724893.0,8511323.120977819
2015-06-06,6478518.0,6542165.546844065
2015-06-07,262497.0,0.0
2015-06-08,7366781.0,6791842.880867124
2015-06-09,6865990.0,5399808.43091917
2015-06-10,6524741.0,6463729.848196864
2015-06-11,6553081.0,6852651.716767192
2015-06-12,6606431.0,6091462.20454371
2015-06-13,6510261.0,4491156.4736536145
2015-06-14,269533.0,2863946.571656838
2015-06-15,11570100.0,10180124.395489812
2015-06-16,9636747.0,8793110.459554732
2015-06-17,8618478.0,8288087.469236016
2015-06-18,8191358.0,7812908.080002487
2015-06-19,8458252.0,7269004.563375413
2015-06-20,6390661.0,6802163.391884923
2015-06-21,249849.0,1284296.0914480465
2015-06-22,6552538.0,8260859.1626393795
2015-06-23,6292372.0,6717157.066603363
2015-06-24,6257424.0,7263622.202177465
2015-06-25,6211764.0,7027733.929682851
2015-06-26,6634687.0,5828931.429207325
2015-06-27,6538314.0,4122225.042538047
2015-06-28,262669.0,2921536.7259464413
2015-06-29,11916672.0,11017321.250826895
2015-06-30,11483932.0,10706355.702791572
2015-07-01,8989672.0,9306620.663516223
2015-07-02,8446293.0,8625289.251790226
2015-07-03,8530388.0,7856968.296067536
2015-07-04,6054276.0,7182748.893592954
2015-07-05,269248.0,72512.55456803739
2015-07-06,7540473.0,8291858.63874799
2015-07-07,6393024.0,6358924.651617348
2015-07-08,6915625.0,5271103.736757636
2015-07-09,6938182.0,4879033.520045042
2015-07-10,7064909.0,4475628.509667993
2015-07-11,6262022.0,3954973.6746820062
2015-07-12,277047.0,2603504.9779580683
2015-07-13,10841267.0,11199122.16083628
2015-07-14,9340405.0,11074946.571850598
2015-07-15,8756137.0,9916690.390351295
2015-07-16,8373873.0,8596806.973490834
2015-07-17,7949337.0,7388135.576898575
2015-07-18,6448982.0,6564415.9096848965
2015-07-19,298418.0,0.0
2015-07-20,7339321.0,6678434.790598452
2015-07-21,6356482.0,5691032.484959543
2015-07-22,6110388.0,6739531.438453913
2015-07-23,6687068.0,7252572.444147289
2015-07-24,6601325.0,6363973.8542817235
2015-07-25,6021666.0,4532682.833982766
2015-07-26,285865.0,2634365.6380110234
2015-07-27,10707292.0,9689459.612527728
2015-07-28,9115073.0,8612807.837506056
2015-07-29,8499962.0,8284357.019100368
2015-07-30,8798854.0,7686321.718850255
2015-07-31,10109742.0,6937670.072773576
