Date,Real,Prediccion_ARIMA
2015-03-22,235852,973949.0449979873
2015-03-23,6788834,7804428.86538158
2015-03-24,6226359,6458206.060829643
2015-03-25,6073784,5723413.539423324
2015-03-26,6362734,6174878.029552285
2015-03-27,7078009,7067675.474531491
2015-03-28,6829093,6238282.414625593
2015-03-29,226242,1196396.8563703978
2015-03-30,12371453,9236675.307003573
2015-03-31,11222913,8680722.502634909
2015-04-01,11102030,8588683.800014794
2015-04-02,11400447,9318070.340376664
2015-04-03,242473,9120252.284379736
2015-04-04,9366558,6048991.350408439
2015-04-05,217211,165731.45272985473
2015-04-06,272921,7902774.002102414
2015-04-07,7896155,6677094.038475845
2015-04-08,6790649,4907229.001521342
2015-04-09,6560475,6794919.363177874
2015-04-10,6669239,4475351.12268612
2015-04-11,6445499,7638556.639878532
2015-04-12,244956,2301504.2457392947
2015-04-13,11075002,7979312.113728303
2015-04-14,9166055,10359165.794385502
2015-04-15,8002511,10982047.146048289
2015-04-16,8396675,9435183.933122858
2015-04-17,8738327,2533336.2718739826
2015-04-18,6569186,8914809.314623788
2015-04-19,237342,874630.4388938779
2015-04-20,6588863,4396896.22924199
2015-04-21,6039464,7782913.650364328
2015-04-22,6082195,5928162.337083328
2015-04-23,6153519,6260451.859406612
2015-04-24,6367560,6975035.715568995
2015-04-25,6305451,5989753.283322362
2015-04-26,234093,907804.8745435113
2015-04-27,10605500,9182472.626101252
2015-04-28,9302980,8567974.727551166
2015-04-29,9517703,8043280.1120826695
2015-04-30,11327847,8743233.793162331
2015-05-01,264231,8851319.66400943
2015-05-02,8764984,6003677.035291841
2015-05-03,249207,319054.7537567448
2015-05-04,10995906,7210242.551254112
2015-05-05,8778928,8029159.162194182
2015-05-06,8633577,6808062.637511472
2015-05-07,8550616,8384521.557942297
2015-05-08,8665512,4186078.3382187476
2015-05-09,7157061,8042250.941547563
2015-05-10,251720,2345668.507268074
2015-05-11,6732629,10612570.020329349
2015-05-12,6686277,7552703.557346707
2015-05-13,8147927,7956198.330529837
2015-05-14,289247,8861073.734573513
2015-05-15,8596524,2332542.6345590428
2015-05-16,6497847,7099588.86278346
2015-05-17,255680,683416.6283638598
2015-05-18,10603240,9712546.900458394
2015-05-19,8925994,8233289.555594583
2015-05-20,8355497,9209632.242258236
2015-05-21,8228411,6236642.369721984
2015-05-22,8352281,9107133.413691519
2015-05-23,6773815,7838590.276223696
2015-05-24,261385,1123555.5676535051
2015-05-25,299473,7219267.232115604
2015-05-26,7776413,5888560.887728332
2015-05-27,6876443,5722740.869057307
2015-05-28,6974793,2658536.3404045505
2015-05-29,8372820,8976140.681274656
2015-05-30,7546769,6465633.495985931
2015-05-31,278690,1779678.069969941
2015-06-01,11743615,7097432.0922137275
2015-06-02,9925193,9835010.861915765
2015-06-03,9731791,9439337.239450103
2015-06-04,3534231,8887375.804861775
2015-06-05,9724893,7086867.5305447485
2015-06-06,6478518,6738308.481712343
2015-06-07,262497,200130.02203570958
2015-06-08,7366781,4877230.858087007
2015-06-09,6865990,7928665.721549019
2015-06-10,6524741,6950349.813590778
2015-06-11,6553081,4934578.786862626
2015-06-12,6606431,8769795.12233934
2015-06-13,6510261,7172813.02057017
2015-06-14,269533,1064563.643865169
2015-06-15,11570100,9379377.643013375
2015-06-16,9636747,9469236.262870068
2015-06-17,8618478,8836444.89284441
2015-06-18,8191358,5873346.322717846
2015-06-19,8458252,8847234.051431537
2015-06-20,6390661,6910656.100954554
2015-06-21,249849,1125861.7783242324
2015-06-22,6552538,8430408.689952899
2015-06-23,6292372,6908504.706848333
2015-06-24,6257424,5807893.630446131
2015-06-25,6211764,6083675.851279753
2015-06-26,6634687,6872285.969102364
2015-06-27,6538314,6101763.111602663
2015-06-28,262669,1145346.0011476567
2015-06-29,11916672,9534564.607799226
2015-06-30,11483932,9135452.444917705
2015-07-01,8989672,8961360.333479226
2015-07-02,8446293,8898684.98941109
2015-07-03,8530388,8182747.994764999
2015-07-04,6054276,6801641.892824563
2015-07-05,269248,1011332.3831830975
2015-07-06,7540473,7901659.843256718
2015-07-07,6393024,7321359.12061386
2015-07-08,6915625,5765480.527816297
2015-07-09,6938182,5910362.361773775
2015-07-10,7064909,7048058.2779297
2015-07-11,6262022,6390608.052949684
2015-07-12,277047,1223190.6941269683
2015-07-13,10841267,10158871.008229963
2015-07-14,9340405,9858094.164465148
2015-07-15,8756137,8558989.071070565
2015-07-16,8373873,8607371.713736977
2015-07-17,7949337,8085453.789050428
2015-07-18,6448982,6343877.789583019
2015-07-19,298418,1074652.484521551
2015-07-20,7339321,8299601.3528440595
2015-07-21,6356482,6869078.521671004
2015-07-22,6110388,6348076.448086335
2015-07-23,6687068,6473239.2854357995
2015-07-24,6601325,6840443.084675355
2015-07-25,6021666,6021074.653982079
2015-07-26,285865,1119780.5415109303
2015-07-27,10707292,9255478.405724244
2015-07-28,9115073,8659228.93817678
2015-07-29,8499962,8313625.405358381
2015-07-30,8798854,8542631.737133553
2015-07-31,10109742,7822491.1584418705
